District,Headquarter,Population,Area,Density,state
Dindigul,Dindigul,"2,161,367","6,058",357,Tamil Nadu (TN)
Erode,Erode,"2,259,608","5,714",397,Tamil Nadu (TN)
Kallakurichi,Kallakurichi,"1,370,281","3,520",389,Tamil Nadu (TN)
Kanchipuram,Kanchipuram,"1,166,401","1,656",704,Tamil Nadu (TN)
Kanyakumari,Nagercoil,"1,863,178","1,685","1,106",Tamil Nadu (TN)
Karur,Karur,"1,076,588","2,901",371,Tamil Nadu (TN)
Krishnagiri,Krishnagiri,"1,883,731","5,086",370,Tamil Nadu (TN)
Madurai,Madurai,"3,991,038","3,676",823,Tamil Nadu (TN)
Mayiladuthurai,Mayiladuthurai, –, –, –,Tamil Nadu (TN)
Nagapattinam,Nagapattinam,"1,614,069","2,716",668,Tamil Nadu (TN)
Nilgiris,Ooty,"735,071","2,549",288,Tamil Nadu (TN)
Namakkal,Namakkal,"1,721,179","3,429",506,Tamil Nadu (TN)
Perambalur,Perambalur,"564,511","1,752",323,Tamil Nadu (TN)
Pudukkottai,Pudukkottai,"1,918,725","4,651",348,Tamil Nadu (TN)
Ramanathapuram,Ramanathapuram,"1,337,560","4,123",320,Tamil Nadu (TN)
Ranipet,Ranipet,"1,210,277","2,234",524,Tamil Nadu (TN)
Salem,Salem,"3,480,008","5,245",663,Tamil Nadu (TN)
Sivaganga,Sivaganga,"1,341,250","4,086",324,Tamil Nadu (TN)
Tenkasi,Tenkasi,"14,07,627",2916,483,Tamil Nadu (TN)
Tirupur,Tirupur,"2,471,222","5,106",476,Tamil Nadu (TN)
Tiruchirappalli,Tiruchirappalli,"2,713,858","4,407",602,Tamil Nadu (TN)
Theni,Theni,"1,243,684","3,066",433,Tamil Nadu (TN)
Tirunelveli,Tirunelveli,"1,665,253","3,842",433,Tamil Nadu (TN)
Thanjavur,Thanjavur,"2,402,781","3,397",691,Tamil Nadu (TN)
Thoothukudi,Thoothukudi,"1,738,376","4,594",378,Tamil Nadu (TN)
Tirupattur,Tirupattur,"1,111,812","1,792",620,Tamil Nadu (TN)
Tiruvallur,Tiruvallur,"3,725,697","3,424","1,049",Tamil Nadu (TN)
Tiruvarur,Tiruvarur,"1,268,094","2,377",533,Tamil Nadu (TN)
Tiruvannamalai,Tiruvannaamalai,"2,468,965","6,191",399,Tamil Nadu (TN)
Vellore,Vellore,"1,614,242","2,080",776,Tamil Nadu (TN)
Viluppuram,Viluppuram,"2,093,003","3,725",562,Tamil Nadu (TN)
Virudhunagar,Virudhunagar,"1,943,309","3,446",454,Tamil Nadu (TN)
Adilabad,Adilabad,"708,952","4,185.97",171,Telangana (TS)
Komaram Bheem,Komaram Bheem,"515,835","4,300.16",106,Telangana (TS)
Bhadradri Kothagudem,Kothagudem,"1,304,811","8,951.00",143,Telangana (TS)
Hyderabad,Hyderabad,"3,441,992","4,325.29","18,172",Telangana (TS)
Jagtial,Jagtial,"983,414","3,043.23",407,Telangana (TS)
Jangaon,Jangaon,"582,457","2,187.50",259,Telangana (TS)
Jayashankar Bhupalpally,Bhupalpalle,"712,257","6,361.70",115,Telangana (TS)
Jogulamba Gadwal,Gadwal,"664,971","2,928.00",208,Telangana (TS)
Kamareddy,Kamareddy,"972,625","3,651.00",266,Telangana (TS)
Karimnagar,Karimnagar,"1,016,063","2,379.07",473,Telangana (TS)
Khammam,Khammam,"1,401,639","4,453.00",321,Telangana (TS)
Mahabubabad,Mahabubabad,"770,170","2,876.70",269,Telangana (TS)
Mahbubnagar,Mahbubnagar,"1,318,110","4,037.00",281,Telangana (TS)
Mancherial,Mancherial,"807,037","4,056.36",201,Telangana (TS)
Medak,Medak,"767,428","2,740.89",275,Telangana (TS)
Medchal-Malkajgiri,Shamirpet,"2,542,203","5,005.98","2,251",Telangana (TS)
Mulugu,Mulugu,"2,94,671","3,881",124,Telangana (TS)
Nalgonda,Nalgonda,"1,631,399","2,449.79",227,Telangana (TS)
Narayanpet,Narayanpet,"5,66,874",2336.44,243,Telangana (TS)
Nagarkurnool,Nagarkurnool,"893,308","6,545.00",124,Telangana (TS)
Nirmal,Nirmal,"709,415","3,562.51",185,Telangana (TS)
Nizamabad,Nizamabad,"1,534,428","4,153.00",366,Telangana (TS)
Peddapalli,Peddapalle,"795,332","4,614.74",356,Telangana (TS)
Rajanna Sircilla,Sircilla,"546,121","2,030.89",273,Telangana (TS)
Ranga Reddy,Shamshabad,"2,551,731","1,038.00",486,Telangana (TS)
Sangareddy,Sangareddy,"1,527,628","4,464.87",347,Telangana (TS)
Siddipet,Siddipet,"993,376","3,425.19",279,Telangana (TS)
Suryapet,Suryapet,"1,099,560","3,374.47",305,Telangana (TS)
Vikarabad,Vikarabad,"881,250","3,385.00",274,Telangana (TS)
Wanaparthy,Wanaparthy,"751,553","2,938.00",268,Telangana (TS)
Warangal Urban,Warangal,"1,135,707","1,304.50",826,Telangana (TS)
Warangal Rural,Geesugonda,"716,457","2,175.50",330,Telangana (TS)
Yadadri Bhuvanagiri,Bhongiri,"726,465","3,091.48",239,Telangana (TS)
Dhalai,Ambassa,"377,988","2,400",157,Tripura (TR)
Gomati,"Udaipur, Tripura","4,36,868",1522.8,287,Tripura (TR)
Khowai[8],Khowai,"3,27,391",1005.67,326,Tripura (TR)
North Tripura,Dharmanagar,"4,15,946",1444.5,288,Tripura (TR)
Sepahijala[9],Bishramganj,"4,84,233",1044.78,463,Tripura (TR)
South Tripura,Belonia,"4,33,737",1534.2,283,Tripura (TR)
Unokoti[10],Kailashahar,"2,77,335",591.93,469,Tripura (TR)
West Tripura,Agartala,"9,17,534",942.55,973,Tripura (TR)
Agra,Agra,"4,380,793","4,027","1,084",Uttar Pradesh (UP)
Aligarh,Aligarh,"3,673,849","3,747","1,007",Uttar Pradesh (UP)
Allahabad,Allahabad,"5,959,798","5,481","1,087",Uttar Pradesh (UP)
Ambedkar Nagar,Akbarpur,"2,398,709","2,372","1,021",Uttar Pradesh (UP)
Amethi,Gauriganj,"2,549,935","3,063",830,Uttar Pradesh (UP)
Amroha,Amroha,"1,838,771","2,321",818,Uttar Pradesh (UP)
Auraiya,Auraiya,"1,372,287","2,051",681,Uttar Pradesh (UP)
Azamgarh,Azamgarh,"4,616,509","4,053","1,139",Uttar Pradesh (UP)
Bagpat,Baghpat,"1,302,156","1,345",986,Uttar Pradesh (UP)
Bahraich,Bahraich,"2,384,239","4,926",415,Uttar Pradesh (UP)
Ballia,Ballia,"3,223,642","2,981","1,081",Uttar Pradesh (UP)
Balrampur,Balrampur,"2,149,066","3,349",642,Uttar Pradesh (UP)
Banda,Banda,"1,799,541","4,413",404,Uttar Pradesh (UP)
Barabanki,Barabanki,"3,257,983","3,825",739,Uttar Pradesh (UP)
Bareilly,Bareilly,"4,465,344","4,120","1,084",Uttar Pradesh (UP)
Basti,Basti,"2,461,056","2,687",916,Uttar Pradesh (UP)
Bhadohi,Gyanpur,"1,554,203",960,"1,531",Uttar Pradesh (UP)
Bijnor,Bijnor,"3,683,896","4,561",808,Uttar Pradesh (UP)
Budaun,Budaun,"3,712,738","5,168",718,Uttar Pradesh (UP)
Bulandshahr,Bulandshahr,"3,498,507","3,719",788,Uttar Pradesh (UP)
Chandauli,Chandauli,"1,952,713","2,554",768,Uttar Pradesh (UP)
Chitrakoot,Karwi,"990,626","3,202",315,Uttar Pradesh (UP)
Deoria,Deoria,"3,098,637","2,535","1,220",Uttar Pradesh (UP)
Etah,Etah,"1,761,152","2,456",717,Uttar Pradesh (UP)
Etawah,Etawah,"1,579,160","2,287",683,Uttar Pradesh (UP)
Faizabad,Faizabad,"2,468,371","2,765","1,054",Uttar Pradesh (UP)
Farrukhabad,Fatehgarh,"1,887,577","2,279",865,Uttar Pradesh (UP)
Fatehpur,Fatehpur,"2,632,684","4,152",634,Uttar Pradesh (UP)
Firozabad,Firozabad,"2,496,761","2,361","1,044",Uttar Pradesh (UP)
Gautam Buddh Nagar,Noida,"1,674,714","1,269","1,252",Uttar Pradesh (UP)
Ghaziabad,Ghaziabad,"4,661,452","1,175","3,967",Uttar Pradesh (UP)
Ghazipur,Ghazipur,"3,622,727","3,377","1,072",Uttar Pradesh (UP)
Gonda,Gonda,"3,431,386","4,425",857,Uttar Pradesh (UP)
Gorakhpur,Gorakhpur,"4,436,275","3,325","1,336",Uttar Pradesh (UP)
Hamirpur,Hamirpur,"1,104,021","4,325",268,Uttar Pradesh (UP)
Hapur,Hapur,"1,338,211",660,"2,028",Uttar Pradesh (UP)
Hardoi,Hardoi,"4,091,380","5,986",683,Uttar Pradesh (UP)
Hathras,Hathras,"1,565,678","1,752",851,Uttar Pradesh (UP)
Jalaun,Orai,"1,670,718","4,565",366,Uttar Pradesh (UP)
Jaunpur,Jaunpur,"4,476,072","4,038","1,108",Uttar Pradesh (UP)
Jhansi,Jhansi,"2,000,755","5,024",398,Uttar Pradesh (UP)
Kannauj,Kannauj,"1,658,005","1,993",792,Uttar Pradesh (UP)
Kanpur Dehat,Akbarpur,"1,795,092","3,021",594,Uttar Pradesh (UP)
Kanpur Nagar,Kanpur,"4,572,951","3,156","1,415",Uttar Pradesh (UP)
Kasganj,Kasganj,"1,438,156","1,955",736,Uttar Pradesh (UP)
Kaushambi,Manjhanpur,"1,596,909","1,837",897,Uttar Pradesh (UP)
Kushinagar,Padrauna,"3,560,830","2,909","1,226",Uttar Pradesh (UP)
Lakhimpur Kheri,Lakhimpur,"4,013,634","7,674",523,Uttar Pradesh (UP)
Lalitpur,Lalitpur,"1,218,002","5,039",242,Uttar Pradesh (UP)
Lucknow,Lucknow,"4,588,455","2,528","1,815",Uttar Pradesh (UP)
Maharajganj,Maharajganj,"2,665,292","2,953",903,Uttar Pradesh (UP)
Mahoba,Mahoba,"876,055","2,847",288,Uttar Pradesh (UP)
Mainpuri,Mainpuri,"1,847,194","2,760",670,Uttar Pradesh (UP)
Mathura,Mathura,"2,541,894","3,333",761,Uttar Pradesh (UP)
Mau,Mau,"2,205,170","1,713","1,287",Uttar Pradesh (UP)
Meerut,Meerut,"3,447,405","2,522","1,342",Uttar Pradesh (UP)
Mirzapur,Mirzapur,"2,494,533","4,522",561,Uttar Pradesh (UP)
Moradabad,Moradabad,"4,773,138","3,718","1,284",Uttar Pradesh (UP)
Muzaffarnagar,Muzaffarnagar,"4,138,605","4,008","1,033",Uttar Pradesh (UP)
Pilibhit,Pilibhit,"2,037,225","3,499",567,Uttar Pradesh (UP)
Pratapgarh,Pratapgarh,"3,173,752","3,717",854,Uttar Pradesh (UP)
Raebareli,Raebareli,"3,404,004","4,609",739,Uttar Pradesh (UP)
Rampur,Rampur,"2,335,398","2,367",987,Uttar Pradesh (UP)
Saharanpur,Saharanpur,"3,464,228","3,689",939,Uttar Pradesh (UP)
Sambhal,Sambhal,"2,217,020",2453,890,Uttar Pradesh (UP)
Sant Kabir Nagar,Khalilabad,"1,714,300","1,442","1,014",Uttar Pradesh (UP)
Shahjahanpur,Shahjahanpur,"3,002,376","4,575",673,Uttar Pradesh (UP)
Shamli[11],Shamli,"1,274,815","1,063","1,200",Uttar Pradesh (UP)
Shravasti,Shravasti,"1,114,615","1,948",572,Uttar Pradesh (UP)
Siddharthnagar,Naugarh,"2,553,526","2,751",882,Uttar Pradesh (UP)
Sitapur,Sitapur,"4,474,446","5,743",779,Uttar Pradesh (UP)
Sonbhadra,Robertsganj,"1,862,612","6,788",274,Uttar Pradesh (UP)
Sultanpur,Sultanpur,"3,790,922","4,436",855,Uttar Pradesh (UP)
Unnao,Unnao,"3,110,595","4,561",682,Uttar Pradesh (UP)
Varanasi,Varanasi,"3,682,194","1,535","2,399",Uttar Pradesh (UP)
Almora,Almora,"621,927","3,090",198,Uttarakhand (UK)
Bageshwar,Bageshwar,"259,840","2,310",116,Uttarakhand (UK)
Chamoli,Gopeshwar,"391,114","7,692",49,Uttarakhand (UK)
Champawat,Champawat,"259,315","1,781",147,Uttarakhand (UK)
Dehradun,Dehradun,"1,698,560","3,088",550,Uttarakhand (UK)
Haridwar,Haridwar,"1,927,029","2,360",817,Uttarakhand (UK)
Nainital,Nainital,"955,128","3,853",225,Uttarakhand (UK)
Pauri Garhwal,Pauri,"686,527","5,438",129,Uttarakhand (UK)
Pithoragarh,Pithoragarh,"485,993","7,110",69,Uttarakhand (UK)
Rudraprayag,Rudraprayag,"236,857","1,896",119,Uttarakhand (UK)
Tehri Garhwal,New Tehri,"616,409","4,085",169,Uttarakhand (UK)
Udham Singh Nagar,Rudrapur,"1,648,367","2,912",648,Uttarakhand (UK)
Uttarkashi,Uttarkashi,"329,686","7,951",41,Uttarakhand (UK)
Alipurduar,Alipurduar,"1,700,000","3,383",400,West Bengal (WB)
Bankura,Bankura,"3,596,292","6,882",523,West Bengal (WB)
Paschim Bardhaman,Asansol,"2,882,031","1,603","1,100",West Bengal (WB)
Purba Bardhaman,Bardhaman,"4,835,532","5,433",890,West Bengal (WB)
Birbhum,Suri,"3,502,387","4,545",771,West Bengal (WB)
Cooch Behar,Cooch Behar,"2,822,780","3,387",833,West Bengal (WB)
Dakshin Dinajpur,Balurghat,"1,670,931","2,183",753,West Bengal (WB)
Darjeeling,Darjeeling,"1,842,034","3,149",585,West Bengal (WB)
Hooghly,Chinsurah,"5,520,389","3,149","1,753",West Bengal (WB)
Howrah,Howrah,"4,841,638","1,467","3,300",West Bengal (WB)
Jalpaiguri,Jalpaiguri,"3,869,675","6,227",621,West Bengal (WB)
Jhargram,Jhargram,"1,136,548","3,038",370,West Bengal (WB)
Kalimpong,Kalimpong,"251,642","1,054",239,West Bengal (WB)
Kolkata,Kolkata,"4,486,679",185,"24,252",West Bengal (WB)
Maldah,English Bazar,"3,997,970","3,733","1,071",West Bengal (WB)
Murshidabad,Baharampur,"7,102,430","5,324","1,334",West Bengal (WB)
Nadia,Krishnanagar,"5,168,488","3,927","1,316",West Bengal (WB)
North 24 Parganas,Barasat,"10,082,852","4,094","2,463",West Bengal (WB)
Paschim Medinipur,Midnapore,"5,094,238","9,345","1,076",West Bengal (WB)
Purba Medinipur,Tamluk,"4,417,377","4,736",923,West Bengal (WB)
Purulia,Purulia,"2,927,965","6,259",468,West Bengal (WB)
South 24 Parganas,Alipore,"8,153,176","9,960",819,West Bengal (WB)
Uttar Dinajpur,Raiganj,"3,000,849","3,180",956,West Bengal (WB)
Nicobar,Car Nicobar,"36,842","1,841",20,Andaman and Nicobar (AN)
North and Middle Andaman,Mayabunder,"105,597","3,736",28,Andaman and Nicobar (AN)
South Andaman,Port Blair,"238,142","2,672",89,Andaman and Nicobar (AN)
Chandigarh,Chandigarh,"1,055,450",114,"9,258",Chandigarh (CH)
Daman,Daman,"191,173[18]",72[19],"2,651",Dadra and Nagar Haveli and Daman and Diu (DD)
Diu,Diu,"52,074[20]",39[21],"2,058",Dadra and Nagar Haveli and Daman and Diu (DD)
Dadra and Nagar Haveli,Silvassa,"343,709",491,700,Dadra and Nagar Haveli and Daman and Diu (DD)
Anantnag,Anantnag,"1,070,144",2853,375,Jammu and Kashmir (JK)
Bandipora,Bandipore,"385,099","3,010",128,Jammu and Kashmir (JK)
Baramulla,Baramulla,"1,015,503",3329,305,Jammu and Kashmir (JK)
Badgam,Badgam,"735,753",1406,537,Jammu and Kashmir (JK)
Doda,Doda,"409,576","11,691",79,Jammu and Kashmir (JK)
Ganderbal,Ganderbal,"297,003",258,"1,151",Jammu and Kashmir (JK)
Jammu,Jammu,"1,526,406","3,097",596,Jammu and Kashmir (JK)
Kathua,Kathua,"615,711","2,651",232,Jammu and Kashmir (JK)
Kishtwar,Kishtwar,"230,696",7737,30,Jammu and Kashmir (JK)
Kulgam,Kulgam,"422,786",457,925,Jammu and Kashmir (JK)
Kupwara,Kupwara,"875,564","2,379",368,Jammu and Kashmir (JK)
Poonch,Poonch,"476,820","1,674",285,Jammu and Kashmir (JK)
Pulwama,Pulwama,"570,060","1,398",598,Jammu and Kashmir (JK)
Rajouri,Rajouri,"619,266","2,630",235,Jammu and Kashmir (JK)
Ramban,Ramban,"283,313","1,330",213,Jammu and Kashmir (JK)
Reasi,Reasi,"314,714",1710,184,Jammu and Kashmir (JK)
Samba,Samba,"318,611",913,318,Jammu and Kashmir (JK)
Shopian,Shupiyan,"265,960",312,852,Jammu and Kashmir (JK)
Srinagar,Srinagar,"1,269,751","2,228",703,Jammu and Kashmir (JK)
Udhampur,Udhampur,"555,357","4,550",211,Jammu and Kashmir (JK)
Kargil,Kargil,"143,388","14,036",10,Ladakh (LA)
Leh,Leh,"147,104","45,110",3,Ladakh (LA)
Lakshadweep,Kavaratti,"64,473[22]",30[23],"2,149[24]",Lakshadweep (LD)
Central Delhi,Daryaganj,"582,320",25,"27,730",National Capital Territory of Delhi (DL)
East Delhi,Preet Vihar,"1,709,346",440,"27,132",National Capital Territory of Delhi (DL)
New Delhi,Connaught Place,"142,004",22,"4,057",National Capital Territory of Delhi (DL)
North Delhi,Sadar Bazaar,"887,978",59,"14,557",National Capital Territory of Delhi (DL)
North East Delhi,Seelampur,"2,241,624",52,"36,155",National Capital Territory of Delhi (DL)
North West Delhi,Kanjhawala,"3,656,539",130,"8,254",National Capital Territory of Delhi (DL)
Shahdara,Shahdara, –,59.75, –,National Capital Territory of Delhi (DL)
South Delhi,Saket,"2,731,929",250,"11,060",National Capital Territory of Delhi (DL)
South East Delhi,Defence Colony, –, –, –,National Capital Territory of Delhi (DL)
South West Delhi,Vasant Vihar,"2,292,958",395,"5,446",National Capital Territory of Delhi (DL)
West Delhi,Rajouri Garden,"2,543,243",112,"19,563",National Capital Territory of Delhi (DL)
Karaikal,Karaikal,"200,222[27]",157[28],"1,275[29]",Puducherry (PY)
Mahé,Mahé,"41,816[30]",9[31],"4,646[30]",Puducherry (PY)
Pondicherry,Pondicherry,"950,289[32]",293[33],"3,232[34]",Puducherry (PY)
Yanam,Yanam,"55,626[35]",30[36],"1,854[35]",Puducherry (PY)
